year,month,day,dep_time,dep_delay,arr_time,arr_delay,cancelled,carrier,tailnum,flight,origin,dest,air_time,distance,hour,min
2014,1,1,1921,-9,2219,-16,0,AA,N4WJAA,1691,EWR,DFW,218,1372,19,21
2014,1,1,1227,2,1534,-1,0,AA,N635AA,1697,JFK,MIA,164,1089,12,27
2014,1,1,546,6,853,3,0,AA,N5CGAA,2243,JFK,MIA,157,1089,5,46
2014,1,1,753,-7,1127,12,0,AA,N3JEAA,2267,LGA,MIA,168,1096,7,53
2014,1,1,705,-5,1005,-20,0,AA,N3KAAA,2279,LGA,MIA,160,1096,7,5
2014,1,1,1449,-6,1755,-10,0,AA,N633AA,2285,JFK,MCO,149,944,14,49
2014,1,1,1736,6,2043,-12,0,AA,N397AA,2351,JFK,MIA,154,1089,17,36
2014,1,1,1450,-5,1805,-15,0,AA,N3EHAA,2297,LGA,MIA,173,1096,14,50
2014,1,1,1958,-2,2055,-15,0,AA,N3JUAA,2314,JFK,BOS,32,187,19,58
2014,1,1,1922,-3,2236,-9,0,AA,N3ESAA,2437,LGA,MIA,172,1096,19,22
2014,1,1,1754,24,2041,16,0,AA,N623AA,2448,JFK,EGE,266,1746,17,54
2014,1,1,647,-3,942,-13,0,AA,N5CEAA,2493,JFK,MCO,147,944,6,47
2014,1,1,1829,4,2140,-12,0,AS,N423AS,5,EWR,SEA,347,2402,18,29
2014,1,1,709,4,1030,15,0,AS,N435AS,15,EWR,SEA,348,2402,7,9
2014,1,1,846,51,1100,60,0,B6,N318JB,1273,JFK,CHS,109,636,8,46
2014,1,1,1353,41,1657,51,0,B6,N318JB,553,JFK,PBI,165,1028,13,53
2014,1,1,2127,72,2215,49,0,B6,N318JB,418,JFK,BOS,32,187,21,27
2014,1,1,2126,20,22,15,0,B6,N323JB,705,EWR,FLL,161,1065,21,26
2014,1,1,952,47,1307,48,0,B6,N324JB,229,JFK,RSW,170,1074,9,52
2014,1,1,1718,18,1840,24,0,B6,N324JB,1734,JFK,BTV,50,266,17,18
2014,1,1,2132,-4,2254,-5,0,B6,N324JB,702,JFK,BUF,62,301,21,32
2014,1,1,752,-2,903,-8,0,B6,N334JB,1307,JFK,IAD,53,228,7,52
2014,1,1,2244,-1,2400,7,0,B6,N334JB,108,JFK,PWM,42,273,22,44
2014,1,1,1407,127,1517,129,0,B6,N337JB,316,JFK,SYR,53,209,14,7
2014,1,1,807,30,938,17,0,B6,N337JB,885,JFK,RDU,74,427,8,7
2014,1,1,1741,126,2048,111,0,B6,N337JB,1729,JFK,RSW,170,1074,17,41
2014,1,1,1425,-4,1724,21,0,B6,N355JB,477,JFK,JAX,148,828,14,25
2014,1,1,2135,5,32,33,0,B6,N355JB,1677,JFK,JAX,149,828,21,35
2014,1,1,1155,-5,1253,-11,0,B6,N368JB,2380,EWR,BOS,45,200,11,55
2014,1,1,812,-3,1135,12,0,B6,N374JB,281,JFK,HOU,242,1428,8,12
2014,1,1,1658,6,1803,-1,0,B6,N374JB,918,JFK,BOS,35,187,16,58
2014,1,1,857,107,1155,108,0,B6,N503JB,683,JFK,MCO,148,944,8,57
2014,1,1,727,-3,1204,-16,0,B6,N505JB,1289,EWR,SJU,194,1608,7,27
2014,1,1,906,-2,1215,11,0,B6,N506JB,653,JFK,PBI,163,1028,9,6
2014,1,1,2208,45,29,37,0,B6,N507JB,97,JFK,DEN,237,1626,22,8
2014,1,1,928,8,1058,17,0,B6,N508JB,586,JFK,ROC,55,264,9,28
2014,1,1,1342,12,1818,4,0,B6,N508JB,103,JFK,SJU,193,1598,13,42
2014,1,1,857,-3,1200,-10,0,B6,N510JB,189,JFK,SAN,342,2446,8,57
2014,1,1,1956,-9,2256,-14,0,B6,N516JB,1201,JFK,FLL,159,1069,19,56
2014,1,1,653,-7,956,-2,0,B6,N517JB,453,JFK,PBI,159,1028,6,53
2014,1,1,1438,19,1734,20,0,B6,N517JB,561,LGA,PBI,155,1035,14,38
2014,1,1,2134,4,36,18,0,B6,N517JB,1371,LGA,FLL,165,1076,21,34
2014,1,1,1001,61,1308,62,0,B6,N519JB,1701,JFK,FLL,157,1069,10,1
2014,1,1,1757,88,2102,90,0,B6,N519JB,1161,LGA,PBI,157,1035,17,57
2014,1,1,931,1,1227,-10,0,B6,N520JB,271,LGA,FLL,160,1076,9,31
2014,1,1,1727,-3,2030,-5,0,B6,N520JB,305,EWR,FLL,159,1065,17,27
2014,1,1,1652,41,1946,31,0,B6,N521JB,753,JFK,PBI,153,1028,16,52
2014,1,1,6,7,450,13,0,B6,N521JB,839,JFK,BQN,198,1576,0,6
2014,1,1,704,-6,842,2,0,B6,N526JB,2702,JFK,BUF,62,301,7,4
2014,1,1,1108,-4,1421,21,0,B6,N527JB,643,EWR,PBI,169,1023,11,8
2014,1,1,1850,21,2145,21,0,B6,N527JB,543,EWR,PBI,151,1023,18,50
2014,1,1,1807,-3,2140,11,0,B6,N531JB,1013,JFK,LGB,367,2465,18,7
2014,1,1,2009,99,2301,97,0,B6,N537JB,183,JFK,MCO,149,944,20,9
2014,1,1,1958,60,2242,52,0,B6,N556JB,711,JFK,LAS,320,2248,19,58
2014,1,1,843,23,1140,24,0,B6,N558JB,1783,JFK,MCO,155,944,8,43
2014,1,1,1233,3,1517,1,0,B6,N561JB,127,EWR,MCO,149,937,12,33
2014,1,1,1528,162,1855,197,0,B6,N562JB,383,JFK,MCO,154,944,15,28
2014,1,1,1158,118,1446,121,0,B6,N565JB,411,JFK,LAS,325,2248,11,58
2014,1,1,2043,38,4,68,0,B6,N568JB,883,JFK,MCO,154,944,20,43
2014,1,1,606,-5,915,3,0,B6,N569JB,601,JFK,FLL,161,1069,6,6
2014,1,1,1350,24,1702,34,0,B6,N569JB,1401,JFK,FLL,165,1069,13,50
2014,1,1,858,-2,1200,3,0,B6,N580JB,27,EWR,MCO,145,937,8,58
2014,1,1,15,16,453,8,0,B6,N580JB,745,JFK,PSE,200,1617,0,15
2014,1,1,628,-7,940,11,0,B6,N583JB,525,JFK,TPA,168,1005,6,28
2014,1,1,804,-5,1133,19,0,B6,N584JB,901,JFK,FLL,178,1069,8,4
2014,1,1,1607,11,1920,6,0,B6,N584JB,1801,JFK,FLL,157,1069,16,7
2014,1,1,1717,37,2029,37,0,B6,N585JB,89,JFK,SAN,342,2446,17,17
2014,1,1,1743,3,2114,-4,0,B6,N587JB,135,JFK,PHX,310,2153,17,43
2014,1,1,924,-6,1214,-7,0,B6,N589JB,199,LGA,MCO,146,950,9,24
2014,1,1,2138,9,29,7,0,B6,N589JB,2043,EWR,PBI,153,1023,21,38
2014,1,1,2210,29,118,41,0,B6,N591JB,425,JFK,TPA,164,1005,22,10
2014,1,1,557,-3,852,-3,0,B6,N592JB,605,EWR,FLL,156,1065,5,57
2014,1,1,1905,18,2214,7,0,B6,N593JB,263,JFK,SEA,346,2422,19,5
2014,1,1,727,-2,1015,-5,0,B6,N598JB,461,LGA,PBI,153,1035,7,27
2014,1,1,1553,-7,1909,18,0,B6,N598JB,327,EWR,MCO,144,937,15,53
2014,1,1,1022,1,1326,1,0,B6,N599JB,1,JFK,FLL,162,1069,10,22
2014,1,1,600,0,858,9,0,B6,N605JB,353,JFK,PBI,158,1028,6,0
2014,1,1,2356,-3,522,42,0,B6,N605JB,1503,JFK,SJU,205,1598,23,56
2014,1,1,1552,-8,1908,1,0,B6,N606JB,1117,LGA,TPA,165,1010,15,52
2014,1,1,2319,-11,401,-8,0,B6,N606JB,1389,EWR,SJU,199,1608,23,19
2014,1,1,709,10,938,54,0,B6,N607JB,905,JFK,ORD,157,740,7,9
2014,1,1,557,-3,856,0,0,B6,N608JB,371,LGA,FLL,158,1076,5,57
2014,1,1,1323,9,1623,-6,0,B6,N608JB,1639,LGA,RSW,161,1080,13,23
2014,1,1,2040,-5,15,16,0,B6,N608JB,1295,JFK,AUS,247,1521,20,40
2014,1,1,613,2,1051,-4,0,B6,N612JB,1403,JFK,SJU,200,1598,6,13
2014,1,1,1554,24,1854,25,0,B6,N612JB,83,JFK,MCO,149,944,15,54
2014,1,1,1206,0,1524,8,0,B6,N623JB,1129,JFK,RSW,174,1074,12,6
2014,1,1,1938,-2,2244,1,0,B6,N623JB,1271,LGA,FLL,161,1076,19,38
2014,1,1,2251,76,122,63,0,B6,N625JB,611,JFK,LAS,310,2248,22,51
2014,1,1,1945,13,2257,-8,0,B6,N627JB,161,JFK,SMF,353,2521,19,45
2014,1,1,600,0,848,2,0,B6,N629JB,583,JFK,MCO,143,944,6,0
2014,1,1,626,-4,941,3,0,B6,N635JB,929,JFK,RSW,177,1074,6,26
2014,1,1,1358,-1,1731,17,0,B6,N635JB,213,JFK,LGB,357,2465,13,58
2014,1,1,917,-4,1246,11,0,B6,N637JB,223,JFK,LAX,349,2475,9,17
2014,1,1,905,79,1218,88,0,B6,N638JB,163,JFK,SRQ,171,1041,9,5
2014,1,1,1638,3,1942,-10,0,B6,N638JB,423,JFK,LAX,349,2475,16,38
2014,1,1,1452,82,1754,80,0,B6,N639JB,431,LGA,SRQ,164,1047,14,52
2014,1,1,2143,42,41,55,0,B6,N639JB,499,LGA,MCO,148,950,21,43
2014,1,1,754,-6,1130,19,0,B6,N640JB,1511,EWR,RSW,168,1068,7,54
2014,1,1,1611,42,1915,50,0,B6,N640JB,573,EWR,TPA,161,997,16,11
2014,1,1,1150,3,1458,1,0,B6,N641JB,323,JFK,LAX,347,2475,11,50
2014,1,1,15,110,327,116,0,B6,N645JB,623,JFK,LAX,349,2475,0,15
2014,1,1,910,21,1231,21,0,B6,N653JB,795,JFK,AUS,237,1521,9,10
2014,1,1,1829,-1,2150,-15,0,B6,N653JB,669,JFK,SJC,365,2569,18,29
2014,1,1,1333,23,1635,29,0,B6,N657JB,505,EWR,FLL,160,1065,13,33
2014,1,1,1558,118,1858,132,0,B6,N658JB,927,EWR,MCO,151,937,15,58
2014,1,1,2320,81,212,87,0,B6,N658JB,1183,JFK,MCO,147,944,23,20
2014,1,1,547,-3,1014,-13,0,B6,N659JB,939,JFK,BQN,190,1576,5,47
2014,1,1,1441,-5,1805,12,0,B6,N659JB,325,JFK,TPA,166,1005,14,41
2014,1,1,2257,62,206,70,0,B6,N659JB,1901,JFK,FLL,162,1069,22,57
2014,1,1,1057,9,1408,14,0,B6,N661JB,971,LGA,FLL,170,1076,10,57
2014,1,1,1859,29,2211,33,0,B6,N661JB,201,JFK,FLL,157,1069,18,59
2014,1,1,956,9,1435,5,0,B6,N665JB,403,JFK,SJU,195,1598,9,56
2014,1,1,2008,47,2324,38,0,B6,N665JB,71,JFK,SLC,292,1990,20,8
2014,1,1,2301,151,204,161,0,B6,N703JB,153,JFK,PBI,152,1028,23,1
2014,1,1,2047,7,2,3,0,B6,N705JB,523,JFK,LAX,341,2475,20,47
2014,1,1,1804,111,2117,124,0,B6,N706JB,283,JFK,MCO,144,944,18,4
2014,1,1,742,-3,1057,14,0,B6,N708JB,1717,LGA,TPA,170,1010,7,42
2014,1,1,1451,1,1757,-5,0,B6,N708JB,1171,LGA,FLL,161,1076,14,51
2014,1,1,1856,-3,2137,-13,0,B6,N715JB,527,EWR,MCO,145,937,18,56
2014,1,1,947,-6,1253,-3,0,B6,N729JB,5,EWR,FLL,162,1065,9,47
2014,1,1,1451,22,1801,24,0,B6,N763JB,301,JFK,FLL,162,1069,14,51
2014,1,1,2011,10,2308,4,0,B6,N766JB,65,JFK,ABQ,280,1826,20,11
2014,1,1,1016,16,1323,36,0,B6,N775JB,483,JFK,MCO,150,944,10,16
2014,1,1,1745,-5,2102,17,0,B6,N775JB,299,LGA,MCO,151,950,17,45
2014,1,1,1656,-3,2021,-13,0,B6,N779JB,167,JFK,OAK,364,2576,16,56
2014,1,1,656,-4,1003,-12,0,B6,N784JB,23,JFK,LAX,341,2475,6,56
2014,1,1,2017,-4,2356,-1,0,B6,N784JB,915,JFK,SFO,370,2586,20,17
2014,1,1,835,-7,1147,6,0,B6,N794JB,1025,JFK,TPA,161,1005,8,35
2014,1,1,2332,32,413,31,0,B6,N796JB,1203,JFK,SJU,198,1598,23,32
2014,1,1,2203,8,59,13,0,B6,N804JB,2053,JFK,PBI,155,1028,22,3
2014,1,1,1703,-7,2049,2,0,B6,N805JB,415,JFK,SFO,370,2586,17,3
2014,1,1,1933,-3,2245,1,0,B6,N806JB,225,JFK,TPA,169,1005,19,33
2014,1,1,900,10,1235,7,0,B6,N807JB,15,JFK,SFO,367,2586,9,0
2014,1,1,1728,-2,2056,10,0,B6,N828JB,359,JFK,BUR,367,2465,17,28
2014,1,1,806,61,1249,53,0,B6,N903JB,3,JFK,SJU,195,1598,8,6
2014,1,1,1749,40,2104,44,0,B6,N903JB,1601,JFK,FLL,158,1069,17,49
2014,1,1,803,62,1104,56,0,B6,N907JB,1101,JFK,FLL,160,1069,8,3
2014,1,1,1555,56,2032,39,0,B6,N907JB,703,JFK,SJU,191,1598,15,55
2014,1,1,2053,81,142,74,0,B6,N552JB,803,JFK,SJU,194,1598,20,53
2014,1,1,803,93,1100,101,0,B6,N639JB,1099,LGA,MCO,143,950,8,3
2014,1,1,2240,121,208,133,0,B6,N524JB,1205,JFK,PDX,353,2454,22,40
2014,1,1,2202,17,49,30,0,B6,N179JB,2227,EWR,MCO,147,937,22,2
2014,1,1,1036,-4,1206,7,0,B6,N184JB,2602,JFK,BUF,68,301,10,36
2014,1,1,1441,4,1827,44,0,B6,N184JB,581,JFK,HOU,256,1428,14,41
2014,1,1,1556,87,1836,101,0,B6,N190JB,575,JFK,MSY,198,1182,15,56
2014,1,1,2326,36,52,44,0,B6,N190JB,2002,JFK,BUF,58,301,23,26
2014,1,1,1030,54,1145,53,0,B6,N192JB,116,JFK,SYR,49,209,10,30
2014,1,1,1354,-5,1617,11,0,B6,N192JB,1373,JFK,CHS,112,636,13,54
2014,1,1,1926,106,2057,117,0,B6,N192JB,1407,JFK,IAD,47,228,19,26
2014,1,1,2306,21,22,19,0,B6,N192JB,486,JFK,ROC,53,264,23,6
2014,1,1,639,-6,928,21,0,B6,N216JB,675,JFK,MSY,206,1182,6,39
2014,1,1,1436,-8,1550,-15,0,B6,N216JB,286,JFK,ROC,54,264,14,36
2014,1,1,1842,5,2015,6,0,B6,N216JB,2202,JFK,BUF,66,301,18,42
2014,1,1,2301,11,9,13,0,B6,N228JB,1816,JFK,SYR,46,209,23,1
2014,1,1,1357,-2,1459,-9,0,B6,N236JB,118,JFK,BOS,36,187,13,57
2014,1,1,1651,231,1755,221,0,B6,N239JB,34,JFK,BTV,48,266,16,51
2014,1,1,2032,182,2212,178,0,B6,N239JB,1185,JFK,RDU,74,427,20,32
2014,1,1,950,40,1057,32,0,B6,N247JB,1634,JFK,BTV,49,266,9,50
2014,1,1,1727,28,1851,24,0,B6,N247JB,2302,JFK,BUF,64,301,17,27
2014,1,1,2153,-2,2337,3,0,B6,N247JB,985,JFK,RDU,78,427,21,53
2014,1,1,900,-5,1007,-17,0,B6,N249JB,208,JFK,PWM,48,273,9,0
2014,1,1,1251,4,1353,2,0,B6,N249JB,1318,JFK,BOS,38,187,12,51
2014,1,1,838,63,1118,70,0,B6,N266JB,677,JFK,JAX,140,828,8,38
2014,1,1,1802,273,1920,268,0,B6,N266JB,2402,JFK,BUF,63,301,18,2
2014,1,1,2218,68,55,76,0,B6,N266JB,775,JFK,MSY,201,1182,22,18
2014,1,1,1746,22,2047,28,0,B6,N267JB,1443,EWR,PBI,154,1023,17,46
2014,1,1,829,-7,931,-22,0,B6,N274JB,2280,EWR,BOS,40,200,8,29
2014,1,1,827,-2,1032,4,0,B6,N281JB,219,JFK,CLT,98,541,8,27
2014,1,1,1328,-1,1437,-3,0,B6,N281JB,308,JFK,PWM,52,273,13,28
2014,1,1,1725,-5,1916,-14,0,B6,N281JB,1119,JFK,CLT,92,541,17,25
2014,1,1,2243,-2,2354,-1,0,B6,N281JB,234,JFK,BTV,49,266,22,43
2014,1,1,656,1,801,-3,0,B6,N292JB,318,JFK,BOS,38,187,6,56
2014,1,1,646,21,737,2,0,B6,N306JB,2180,EWR,BOS,34,200,6,46
2014,1,1,2054,-5,2331,47,0,B6,N307JB,105,JFK,ORD,152,740,20,54
2014,1,1,1711,11,2006,11,0,AA,N3HSAA,45,JFK,LAS,332,2248,17,11
2014,1,1,759,-1,1113,-22,0,AA,N368AA,59,JFK,SFO,356,2586,7,59
2014,1,1,1536,-4,1854,-16,0,AA,N3ABAA,65,JFK,DFW,218,1391,15,36
2014,1,1,1710,5,2023,8,0,AA,N3DNAA,67,JFK,SAN,355,2446,17,10
2014,1,1,1527,-3,1902,-13,0,AA,N399AA,85,JFK,SFO,366,2586,15,27
2014,1,1,1627,-3,2107,-23,0,AA,N5BTAA,95,JFK,SJU,196,1598,16,27
2014,1,1,1810,10,2054,10,0,DL,N930DL,61,LGA,ATL,126,762,18,10
2014,1,1,901,-4,1102,-11,0,DL,N917DL,181,LGA,DTW,99,502,9,1
2014,1,1,1657,-3,1940,-7,0,DL,N965DL,221,LGA,ATL,129,762,16,57
2014,1,1,1059,-1,1419,15,0,DL,N353NW,386,EWR,SLC,301,1969,10,59
2014,1,1,1502,3,1745,-6,0,DL,N372DA,404,JFK,LAS,316,2248,15,2
2014,1,1,1054,-6,1347,-7,0,DL,N915DE,405,JFK,MCO,149,944,10,54
2014,1,1,1859,34,2120,14,0,DL,N3755D,406,JFK,ATL,116,760,18,59
2014,1,1,1908,8,2229,12,0,DL,N3756,407,JFK,PDX,347,2454,19,8
2014,1,1,1556,-4,1922,-19,0,DL,N705TW,409,JFK,SFO,363,2586,15,56
2014,1,1,1315,0,1611,-8,0,DL,N376DA,415,JFK,FLL,157,1069,13,15
2014,1,1,1531,1,1858,-5,0,DL,N188DN,417,JFK,LAX,357,2475,15,31
2014,1,1,1027,-3,1312,2,0,DL,N384DA,420,JFK,LAS,321,2248,10,27
2014,1,1,1626,-4,1930,-21,0,DL,N386DA,421,JFK,AUS,226,1521,16,26
2014,1,1,919,19,1240,11,0,DL,N190DN,422,JFK,LAX,355,2475,9,19
2014,1,1,1820,5,2128,-22,0,DL,N1610D,426,JFK,LAX,346,2475,18,20
2014,1,1,2023,8,2340,-1,0,DL,N193DN,427,JFK,LAX,338,2475,20,23
2014,1,1,1641,16,1938,-7,0,DL,N316US,428,JFK,MIA,156,1089,16,41
2014,1,1,1250,0,1605,1,0,DL,N6700,429,JFK,SLC,295,1990,12,50
2014,1,1,700,0,1020,-19,0,DL,N721TW,430,JFK,SFO,359,2586,7,0
2014,1,1,1257,-3,1615,-16,0,DL,N713TW,432,JFK,SFO,354,2586,12,57
2014,1,1,810,0,1032,-7,0,DL,N3734B,433,JFK,ATL,118,760,8,10
2014,1,1,1855,-5,2227,-14,0,DL,N712TW,435,JFK,SFO,365,2586,18,55
2014,1,1,906,86,1216,79,0,DL,N727TW,440,JFK,SEA,347,2422,9,6
2014,1,1,1838,-2,2159,-4,0,DL,N686DA,442,JFK,SEA,347,2422,18,38
2014,1,1,1952,30,29,19,0,DL,N3738B,448,JFK,SJU,194,1598,19,52
2014,1,1,813,-7,1254,-46,0,DL,N712TW,454,JFK,STT,202,1623,8,13
2014,1,1,749,49,1101,36,0,DL,N198DN,472,JFK,LAX,331,2475,7,49
2014,1,1,1707,7,2008,-20,0,DL,N706TW,477,JFK,LAX,337,2475,17,7
2014,1,1,624,9,946,54,0,DL,N3751B,479,JFK,ATL,144,760,6,24
2014,1,1,1149,-11,1420,-12,0,DL,N941DL,480,JFK,ATL,122,760,11,49
2014,1,1,657,-3,1035,10,0,DL,N709TW,486,JFK,SLC,311,1990,6,57
2014,1,1,1041,-4,1340,-27,0,DL,N926DL,505,LGA,SRQ,166,1047,10,41
2014,1,1,1230,-5,1524,-14,0,DL,N339NB,507,LGA,PBI,157,1035,12,30
2014,1,1,1328,-7,1623,-17,0,DL,N959DL,508,LGA,PBI,153,1035,13,28
2014,1,1,1408,-7,1623,-14,0,DL,N990AT,673,EWR,ATL,118,746,14,8
2014,1,1,759,-11,1045,5,0,DL,N354NW,705,LGA,DEN,262,1620,7,59
2014,1,1,555,-5,745,-7,0,DL,N342NB,731,LGA,DTW,93,502,5,55
2014,1,1,1729,9,2000,-5,0,DL,N962DL,760,LGA,MSY,192,1183,17,29
2014,1,1,1255,-5,1521,-17,0,DL,N994DL,781,LGA,ATL,121,762,12,55
2014,1,1,627,-3,845,-14,0,DL,N990AT,807,EWR,ATL,120,746,6,27
2014,1,1,1558,-1,1835,-6,0,DL,N955DL,847,LGA,ATL,130,762,15,58
2014,1,1,603,3,815,-16,0,DL,N392DA,904,LGA,ATL,116,762,6,3
2014,1,1,959,-6,1255,-17,0,DL,N373NW,1109,LGA,TPA,157,1010,9,59
2014,1,1,1302,17,1503,21,0,DL,N331NW,1131,LGA,DTW,98,502,13,2
2014,1,1,910,70,1203,52,0,DL,N910DL,1174,LGA,PBI,159,1035,9,10
2014,1,1,1439,-6,1744,-5,0,DL,N909DE,1902,LGA,PBI,156,1035,14,39
2014,1,1,1435,-5,1739,-4,0,DL,N975DL,1935,LGA,TPA,162,1010,14,35
2014,1,1,1529,-1,1755,-1,0,DL,N907DL,1942,EWR,ATL,118,746,15,29
2014,1,1,937,-3,1247,-8,0,DL,N962DL,1946,LGA,FLL,165,1076,9,37
2014,1,1,1155,-5,1422,-17,0,DL,N913DE,1947,LGA,ATL,128,762,11,55
2014,1,1,1557,-2,1903,-23,0,DL,N904DE,1982,LGA,MIA,160,1096,15,57
2014,1,1,1829,-1,2043,0,0,DL,N901DE,2019,LGA,MSP,164,1020,18,29
2014,1,1,1658,13,1927,15,0,DL,N989AT,2042,EWR,ATL,119,746,16,58
